Unit,Name,Date (DD- MON- YYYY),Link,Type,Location,Place,Like Count (Masa Only),Cultural Site,Name of Site,Religious Theme,Name of Artifact,Desert,Nature,Name of lanscape,Wildlife,Name of Wildlife,Attire,Cuisine,Architecture,Name of Artifact,Megaevents/Festivals,Name of Event,Leisure Activity ,Name of Activity ,Orientalism,
53,1,15- Aug-2022,https://www.instagram.com/p/ChSJbybsDEW/,2,,1,"8,695",0,,0,,0,1,,0,,0,0,1,skyline,0,,0,,1,
54,1,19- Aug-2022,https://www.instagram.com/p/ChbpF4ssCAo/,1,Wild Wadi Park,0,"5,449",0,,0,,0,0,,0,,2,0,0,,0,,1,waterpark,1,
55,1,22- Aug-2022,https://www.instagram.com/p/ChjlNqhswx1/,2,,0,"5,136",0,,0,,0,0,,0,,0,0,1,Dubai Creek Golf,0,,0,golf,1,
56,1,23- Aug-2022,https://www.instagram.com/p/ChmzNXPONce/,2,,1,"9,669",0,,0,,0,0,,0,,0,0,1,Burj Khalifa,0,,1,Sky view,1,
57,1,23- Aug-2022,https://www.instagram.com/p/Chl9h85uscs/,1,Anantara The Palm Dubai Resort,0,"4,166",0,,0,,0,0,,0,,2,0,0,,0,,1,swimming,1,
58,1,24- Aug-2022,https://www.instagram.com/p/ChoiU0aOniF/,1,"Atlantis, The Palm",0,"8,090",0,,0,,0,1,Ocean,0,,2,0,1,Atlantis ,0,,1,Paddle boarding,1,
59,1,26- Aug-2022,https://www.instagram.com/p/ChueJ_urM09/,1,Sonara,0,"8,974",0,,0,,1,0,,0,,0,0,0,,0,,1,desert camping,0,
60,1,28- Aug-2022,https://www.instagram.com/p/ChznwF6soGm/,2,,1,"16,885",0,,0,,1,1,Ocean,0,,0,0,1,Video- all encompassing,0,,1,Video,1,
61,1,5- Sep-2022,https://www.instagram.com/p/CiHb3bEM_SJ/,1,"Atlantis, The Palm",0,"8,619",0,,0,,0,1,,0,,0,0,1,,0,,0,,1,
62,1,8- Sep-2022,https://www.instagram.com/p/CiP_7EBMGSR/,1,"Hatta, United Arab Emirates",0,"4,883",0,,0,,0,1,mountain,0,,0,0,0,,0,,0,,1,
63,1,8- Sep-2022,https://www.instagram.com/p/CiQGE8lKexz/,2,,0,"3,770",0,,0,,0,1,Ocean,0,,2,0,1,,0,,0,,1,
64,1,18- Sep-2022,https://www.instagram.com/p/Cio6M-bhmqm/,2,,1,"1,750",0,,0,,0,0,,0,,3,1,1,,0,,1,Dubai Frame,1,
65,1,19- Sep-2022,https://www.instagram.com/p/Cire_qyN5Nc/,1,Mina A'Salam hotel,1,"11,491",0,,0,,0,1,,0,,0,0,1,Burj Al Arab,0,,0,,1,
66,1,21- Sep-2022,https://www.instagram.com/p/CiwlvqTOhOF/,2,,0,884,0,,0,,1,1,Video,0,,3,2,0,,0,,1,video,1,
67,1,26- Sep-2022,https://www.instagram.com/p/Ci9b4AQPOaA/,2,,0,"1,338",0,,0,,0,1,Ocean,0,,2,2,0,,0,,1,water park,1,
68,1,28- Sep-2022,https://www.instagram.com/p/CjCsVIMAFgU/,2,,1,"1,778",0,,0,,0,0,,0,,2,0,1,Burj Khalifa,0,,1,burj khalifa fountain,1,
69,1,1- Oct-2022,https://www.instagram.com/p/CjKQaPDNjEP/,1,Leen's Emirates Towers,1,"14,031",0,,0,,0,0,,0,,0,2,1,Museum of the future,0,,0,,1,
70,1,2- Oct-2022,https://www.instagram.com/p/CjNsIqTMvaJ/,1,Global Village,0,"10,268",0,,0,,0,0,,0,,3,0,1,,0,,1,Global village,1,
71,1,3- Oct-2022,https://www.instagram.com/p/CjPkTlDr1di/,1,,0,"4,840",0,,0,,0,1,Ocean and palm trees,0,,0,0,0,,0,,0,,1,
72,1,7- Oct-2022,https://www.instagram.com/p/CjaPgxXrAdc/,1,,1,"8,838",0,,0,,1,0,,1,Camels,0,0,0,,0,,0,,0,
73,1,8- Oct-2022,https://www.instagram.com/p/CjcaGTbNSR9/,2,,0,"21,130",0,,0,,0,0,,0,,0,0,1,skyline,0,,0,,1,
74,1,10- Oct-2022,https://www.instagram.com/p/CjhjsBTrDY-/,2,,1,"14,098",0,,0,,0,1,Ocean,0,,2,0,1,,0,,1,skydiving,1,
75,1,11- Oct-2022,https://www.instagram.com/p/CjkIe3ng1QP/,1,,1,"7,566",0,,0,,0,1,,0,,0,0,1,skyline,0,,0,,1,
76,1,20- Oct-2022,https://www.instagram.com/p/Cj7TozkMrpq/,1,Address Beach resort,0,"14,605",0,,0,,0,1,,0,,0,0,0,,0,,0,,1,
77,1,22- Oct-2022,https://www.instagram.com/p/CkBZxA4s6xK/,1,"United Arab Emirates, Dubai",1,"11,708",0,,0,,0,0,,0,,0,0,1,Burj Khalifa,0,,0,,1,
78,1,25- Oct-2022,https://www.instagram.com/p/CkILng6MhFc/,1,Dubai Marina,0,"11,748",0,,0,,0,0,,0,,0,0,1,skyline,0,,0,,1,
79,1,1- Nov-2022,https://www.instagram.com/p/CkaKoQOs9B-/,2,,0,"8,993",0,,0,,0,1,,0,,0,0,1,,0,,0,,1,
80,1,2- Nov-2022,https://www.instagram.com/p/Ckcx-Ses_B1/,1,Karak House,1,"7,763",0,,0,,0,0,,0,,0,1,1,Burj Khalifa,0,,1,dining with burj,1,
81,1,4- Nov-2022,https://www.instagram.com/p/Ckh7j_KgAqz/,1,Dubai Miracle Garden,0,"32,986",0,,0,,0,0,,0,,0,0,0,,0,,1,flower garden,1,
82,1,11- Nov-2022,https://www.instagram.com/p/Ckz9H_OtNy0/,2,,0,"13,709",0,,0,,1,0,,0,,0,0,0,,0,,1,hot air balloon,0,
83,1,17- Nov-2022,https://www.instagram.com/p/ClDZ5Y8pd7l/,2,,0,"31,881",0,,0,,0,0,,0,,2,0,1,,0,,1,360 infinity pool,1,
84,1,21- Nov-2022,https://www.instagram.com/p/ClNoRlQIGwr/,2,,1,"10,395",0,,0,,1,1,,0,,3,3 � Both,1,,0,,1,car on the ocean?,1,
85,1,21- Nov-2022,https://www.instagram.com/p/ClOOKpXh55_/,2,,0,"1,912",0,,0,,0,0,,0,,3,0,0,,0,,1,fifa world cup viewing,1,
86,1,25- Nov-2022,https://www.instagram.com/p/ClYAQcyt5Sm/,2,,1,"6,493",0,,0,,0,0,,0,,2,0,1,,0,,0,,1,
87,1,26- Nov-2022,https://www.instagram.com/p/ClajypRMQEV/,1,Sofitel Dubai The Palm,0,"3,634",0,,0,,0,0,,0,,2,0,0,,0,,1,swimming,1,
88,1,2- Dec-2022,https://www.instagram.com/p/ClqavLcqXYq/,2,,1,"14,711",0,,0,,0,1,,0,,2,0,1,,0,,1,skydiving,1,
89,1,2- Dec-2022,https://www.instagram.com/p/ClrGZxOywnB/,1,"Dubai, United Arab Emirates",1,"17,973",0,,0,,0,0,,0,,0,0,1,Burj Al Arab,0,,0,,1,
90,1,3- Dec-2022,https://www.instagram.com/p/ClslXFcIuJQ/,2,,0,"3,878",0,,0,,0,0,,0,,2,0,0,,0,,1,formula max driving,1,
91,1,7- Dec-2022,https://www.instagram.com/p/Cl32VYGNm3L/,1,Burj Khalifa,1,"18,539",0,,0,,0,0,,0,,0,0,1,,0,,1,firework show,1,
92,1,8- Dec-2022,https://www.instagram.com/p/Cl5dVgXNL4l/,2,,0,"20,140",0,,0,,0,1,Ocean,0,,2,2,1,,0,,1,infinity pool and breakfast,1,
93,1,13- Dec-2022,https://www.instagram.com/p/CmGcK7xNgSP/,1,Museum of the Future,1,"9,320",0,,0,,0,0,,0,,0,0,1,Museum of the Future,0,,0,,1,
94,1,16- Dec-2022,https://www.instagram.com/p/CmPBfRyu1Zi/,1,"Atlantis, The Palm",0,"10,442",0,,0,,0,1,Beach,0,,0,0,1,Atlantis,0,,0,,1,
95,1,19- Dec-2022,https://www.instagram.com/p/CmVrzKvqNNF/,2,,0,"9,180",0,,0,,0,0,,0,,3,0,0,,0,,1,fifa viewing party,1,
96,1,19- Dec-2022,https://www.instagram.com/p/CmWv3ywuIiI/,1,Park Hyatt Dubai,0,"9,748",0,,0,,0,0,,0,,2,0,0,,0,,1,christmas tree lightings,1,
97,1,20- Dec-2022,https://www.instagram.com/p/CmYW3zaNy69/,2,,1,"13,860",0,,0,,1,0,,1,Camels,0,0,0,,0,,1,hot air balloon ride,0,
98,1,22- Dec-2022,https://www.instagram.com/p/CmeQhiFNiiJ/,2,,0,"17,567",0,,0,,0,1,Ocean,0,,0,0,1,skyline,0,,1,cocktail hour at sunset,1,
99,1,23- Dec-2022,https://www.instagram.com/p/CmhDDaJL-RM/,1,Dubai Frame,0,"9,068",0,,0,,0,0,,0,,0,0,1,Dubai Frame,0,,0,,1,
100,1,24- Dec-2022,https://www.instagram.com/p/Cmiw6gNOul4/,1,Shangri-La Dubai,1,"10,150",0,,0,,0,0,,0,,0,0,1,Burj Khalifa,0,,0,,1,
