Unit,Name,Date (DD- MON- YYYY),Link,Type,Location,Place,Like Count (Masa Only),Cultural Site,Name of Site,Religious Theme,Name of Artifact,Desert,Nature,Name of lanscape,Wildlife,Name of Wildlife,Attire,Cuisine,Architecture,Name of Artifact,Megaevents/Festivals,Name of Event,Leisure Activity,Name of Activity ,Orientalism,
61,2,29- Sep-2022,https://www.instagram.com/p/CjE1pnYMm2W/,1,Al Balad,1,962,1,Historic Jeddah,0,,0,0,,0,,3,0,0,,0,,0,,1,
62,2,2- Oct-2022,https://www.instagram.com/p/CjNMHAwOTr_/,1,"AlUla, Saudi Arabia",0,"1,423",0,,0,,1,1,Mountain,0,,2,0,0,,0,,0,,1,
63,2,6- Oct-2022,https://www.instagram.com/p/CjXquaitgmd/,2,"Abha, Aseer, Saudi Arabia",0,"8,383",0,,0,,0,1,mountain and forest hike,0,,2,0,0,,0,,0,,1,
64,2,7- Oct-2022,https://www.instagram.com/p/CjZz37duPQ8/,1,"Rijal Almaa, Saudi Arabia",0,971,1,Rijal Almaa,0,,0,0,,0,,2,0,0,,0,,0,,1,
65,2,12- Oct-2022,https://www.instagram.com/p/CjnDqzLPX35/,2,,1,"11,499",1,,0,,0,1,,0,,2,0,0,,0,,1,,1,
66,2,13- Oct-2022,https://www.instagram.com/p/CjpVQFPrMSp/,2,"AlUla, Saudi Arabia",0,"1,077",0,,0,,1,0,,0,,2,0,0,,0,,0,,1,
67,2,22- Oct-2022,https://www.instagram.com/p/CkAHXicMs23/,1,"Abha, Aseer, Saudi Arabia",0,"1,769",0,,0,,0,1,forests,1,birds (caption),0,0,0,,0,,0,,1,
68,2,26- Oct-2022,https://www.instagram.com/p/CkLGsc7sv1R/,2,,0,"1,720",0,,0,,0,0,,0,,3,"2 � Yes, global cuisine is included.",1,,1,Riyadh Season,1,,1,
69,2,29- Oct-2022,https://www.instagram.com/p/CkSFiR4hZKC/,2,,1,692,1,,0,,0,0,,0,,3,0,0,,0,,0,,1,
70,2,2- Nov-2022,https://www.instagram.com/p/CkdSZfvDXe_/,1,"Jeddah, Saudi Arabia",0,655,0,,0,,0,0,,0,,3,0,0,,0,,0,,1,
71,2,3- Nov-2022,https://www.instagram.com/p/Cke9eY0OQGK/,1,"Riyadh, Saudi Arabia",0,899,0,,0,,0,0,,0,,0,0,0,,1,Riyadh Season,1,international exhibitions,1,
72,2,4- Nov-2022,https://www.instagram.com/p/CkiBKhQh-UE/,2,Edge of the world Riyadh,0,"10,948",0,,0,,0,1,hiking mountain,0,,2,0,0,,0,,0,,1,
73,2,7- Nov-2022,https://www.instagram.com/p/Ckpj7fkMQC-/,1,King Abdullah Financial District,0,"4,832",0,,0,,0,0,,0,,2,0,1,King Abdullah Financial District,0,,,,1,
74,2,11- Nov-2022,https://www.instagram.com/p/CkznTNaqNwg/,2,"Riyadh, Saudi Arabia",0,"11,429",0,,0,,0,0,,0,,0,0,1,,0,,0,,1,
75,2,14- Nov-2022,https://www.instagram.com/p/Ck8PQO_KdTu/,1,Saudi Arabia,0,"9,325",0,,0,,1,0,,0,,0,0,0,,0,,0,,1,
76,2,18- Nov-2022,https://www.instagram.com/p/ClGQ2qtIdzV/,2,,1,"1,194",0,,0,,0,0,,0,,3,0,0,,0,,0,,1,
77,2,19- Nov-2022,https://www.instagram.com/p/ClINogwMlwx/,1,,0,"10,287",0,,0,,0,1,Oasis,0,,0,0,0,,0,,0,,1,
78,2,23- Nov-2022,https://www.instagram.com/p/ClTSkqQKirL/,2,Yanbu Al Nakheel,0,"8,401",0,,0,,0,1,River,0,,2,0,0,,0,,0,,1,
79,2,25- Nov-2022,https://www.instagram.com/p/ClYE0cgq8dy/,1,,0,"1,095",0,,0,,0,0,,0,,3,0,0,,1,Soundstorm,1,live music,1,
80,2,26- Nov-2022,https://www.instagram.com/p/ClaIVWNszZ5/,2,,0,"2,441",0,,0,,0,1,Mountain,0,,0,0,0,,0,,0,,1,
81,2,30- Nov-2022,https://www.instagram.com/p/Clk6bMJKzSU/,2,"Riyadh, Saudi Arabia",0,504,0,,0,,0,0,,0,,2,0,0,,0,,1,Cirque Du Soleil,1,
82,2,1- Dec-2022,https://www.instagram.com/p/ClnHLrqq6MK/,1,,0,772,0,,0,,0,0,,0,,3,0,0,,1,Soundstorm,1,live music,1,
